genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
ehom	4	Arr3		16.105880 	16.65214 	17.21269547	15.18714379	14.084184	13.66665961
ehom	5	Arr3							
ehom	6	Arr3							
khet	1	Arr3		15.201037 	14.08225 		12.87110804	10.6810662	8.814463911
khet	2	Arr3		15.177805 	15.15927 		13.1917346	10.31093035	9.034309555
khet	3	Arr3		14.360127 		14.01893 	12.94005738	10.91817952	9.165173102
khet	4	Arr3		15.516710 	14.88670 	14.41175 	13.29120843	11.10769911	8.417485425
khet	5	Arr3							
khet	6	Arr3							
khom	1	Arr3			15.75826 				
khom	2	Arr3		18.808241 	16.81147 	17.72905766	15.5054855	18.20679061	16.93907045
khom	3	Arr3		16.804334 			16.44788983	16.23373494	
khom	4	Arr3				17.27687708	16.38342519	17.10268717	17.76135171
khom	5	Arr3						15.93914748	17.63959204
khom	6	Arr3							
khom	7	Arr3				17.07739681			
khom	8	Arr3				18.13241735			
